Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Oct 8, 2018	111-4380797-6386626	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-4380797-6386626	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-4380797-6386626	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	114-4430726-4741023	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	114-4430726-4741023	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.92		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	114-4430726-4741023	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-0785924-0345805	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-0785924-0345805	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-5.08		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-0785924-0345805	SN-Z9YH-LPU6	Order Payment	Product charges		$33.90	2	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	112-1912958-9169042	99-XD7Z-BADC	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-4.71		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	112-1912958-9169042	99-XD7Z-BADC	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.95		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	112-1912958-9169042	99-XD7Z-BADC	Order Payment	Product charges		$12.97	1	Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	112-3616917-6557005	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
